# This file is generated by MACS version 2.1.1.20160309
# Command line: callpeak -t GSM1018048_sora_H3K4me3.bed -f BED --nomodel
# ARGUMENTS LIST:
# name = NA
# format = BED
# ChIP-seq file = ['GSM1018048_sora_H3K4me3.bed']
# control file = None
# effective genome size = 2.70e+09
# band width = 300
# model fold = [5, 50]
# qvalue cutoff = 5.00e-02
# Larger dataset will be scaled towards smaller dataset.
# Range for calculating regional lambda is: 10000 bps
# Broad region calling is off
# Paired-End mode is off

# tag size is determined as 150 bps
# total tags in treatment: 18115973
# tags after filtering in treatment: 18115972
# maximum duplicate tags at the same position in treatment = 1
# Redundant rate in treatment: 0.00
# d = 200
chr	start	end	length	abs_summit	pileup	-log10(pvalue)	fold_enrichment	-log10(qvalue)	name
chr1	713524	714105	582	713967	96.00	70.84737	11.54762	67.71346	NA_peak_1
chr1	714266	714838	573	714627	91.00	65.20399	10.92637	62.18911	NA_peak_2
chr1	715085	715339	255	715176	30.00	10.01365	3.67299	7.81786	NA_peak_3
chr1	762068	763287	1220	762475	87.00	68.24786	12.53561	65.17036	NA_peak_4
chr1	805016	805303	288	805167	28.00	27.80538	12.38298	25.36520	NA_peak_5
chr1	839439	840603	1165	839719	61.00	39.97792	8.90805	37.37895	NA_peak_6
chr1	858928	859255	328	859093	60.00	17.54933	3.67028	15.24040	NA_peak_7
chr1	859506	861507	2002	860207	96.00	42.81393	5.82233	40.17528	NA_peak_8
chr1	875945	876234	290	876106	26.00	12.77521	5.11364	10.53466	NA_peak_9
chr1	877504	877953	450	877732	35.00	20.64415	6.81818	18.29438	NA_peak_10
chr1	878205	878583	379	878473	20.00	8.35315	4.03846	6.19053	NA_peak_11
chr1	893950	894695	746	894459	145.00	87.40580	8.91331	83.85298	NA_peak_12
chr1	895673	896538	866	896392	89.00	37.03115	5.35077	34.47189	NA_peak_13
chr1	901544	902707	1164	902203	135.00	104.26945	13.07692	100.16808	NA_peak_14
chr1	911300	912529	1230	911863	90.00	70.44869	12.56906	67.32345	NA_peak_15
chr1	919674	920048	375	919865	42.00	46.58251	17.62295	43.88889	NA_peak_16
chr1	934687	935398	712	935048	88.00	36.07439	5.26005	33.52780	NA_peak_17
chr1	935677	937394	1718	936053	107.00	50.90700	6.34548	48.14667	NA_peak_18
